English,Japanese,French,Italian,German,Spanish,Russian,Polish,Korean,traditional Chinese,Simplified Chinese
Attack Boost,攻撃,Machine de guerre,Bonus attacco,Angriffsbonus,Ataque,Усиление атаки,Wzmocnienie ataku,공격,攻擊,攻击
Agitator,挑戦者,Témérité,Istigatore,Aufhetzer,Instigador,Подстрекатель,Podżegacz,도전자,挑戰者,挑战者
Peak Performance,フルチャージ,Performance optimale,Forma perfetta,Höchstleistung,Plena forma,На высоте,Szczyt możliwości,완전 충전,無傷,无伤
Resentment,逆恨み,Vengeance,Risentimento,Groll,Resentimiento,Презрение,Uraza,앙심,怨恨,怨恨
Resuscitate,死中に活,Esprit indomptable,Rianimazione,Wiederbelebung,Resistencia,Оживление,Ożywienie,돌파구,死裡逃生,死里逃生
Critical Eye,見切り,Maître d'armes,Occhio critico,Kritischer Blick,Ojo crítico,Критический взгляд,Krytyczne oko,간파,看破,看破
Critical Boost,超会心,Berserker,Bonus critico,Kritischer Boost,Potenciador crítico,Усиление крит. атак,Wzmocnienie krytyczne,슈퍼회심,超會心,超会心
Weakness Exploit,弱点特効,Mise à mort,Punto debole,Schwächevorteil,Punto débil,Поиск уязвимостей,Wykorzyst. słabości,약점 특효,弱點特效,弱点特效
Latent Power,力の解放,Force latente,Forza latente,Latente Kraft,Poder latente,Скрытая энергия,Uśpiona moc,힘의 해방,力量解放,力量解放
Maximum Might,渾身,Corps et âme,Massima potenza,Höchstmacht,Afinidad,Макс. могущество,Maksymalna moc,혼신,精神抖擻,精神抖擞
Critical Element,会心撃【属性】,Rage élémentaire,Critico elementale,Kritisches Element,Elemento crítico,Крит. удар стихией,Żywioł krytyczny,회심격【속성】,會心擊【屬性】,会心击【属性】
Master's Touch,達人芸,Main de maître,Tocco del maestro,Meisterschliff,Toque del maestro,Рука мастера,Dotyk mistrza,달인의 재주,達人藝,达人艺
Fire Attack,火属性攻撃強化,Pyromane,Attacco fuoco,Feuerangriff,Ataque de fuego,Атака огнем,Atak ogniem,불속성 공격 강화,火屬性攻擊強化,火属性攻击强化
Water Attack,水属性攻撃強化,Maelstrom,Attacco acqua,Wasserangriff,Ataque de agua,Атака водой,Atak wodą,물속성 공격 강화,水屬性攻擊強化,水属性攻击强化
Ice Attack,氷属性攻撃強化,Blizzard,Attacco ghiaccio,Eisangriff,Ataque de hielo,Атака льдом,Atak lodem,얼음속성 공격 강화,冰屬性攻擊強化,冰属性攻击强化
Thunder Attack,雷属性攻撃強化,Feu du ciel,Attacco tuono,Donnerangriff,Ataque de rayo,Атака грозой,Atak piorunem,번개속성 공격 강화,雷屬性攻擊強化,雷属性攻击强化
Dragon Attack,龍属性攻撃強化,Pourfendeur de dragon,Attacco drago,Drachenangriff,Ataque de draco,Атака дракона,Smoczy atak,용속성 공격 강화,龍屬性攻擊強化,龙属性攻击强化
Poison Attack,毒属性強化,Mort-aux-rats,Attacco veleno,Giftangriff,Ataque venenoso,Атака ядом,Atak trucizną,독속성 강화,毒屬性強化,毒属性强化
Paralysis Attack,麻痺属性強化,Neutralisation,Attacco paralisi,Lähmungsangriff,Ataque paralizante,Парализующая атака,Atak paraliżem,마비속성 강화,麻痺屬性強化,麻痹属性强化
Sleep Attack,睡眠属性強化,La nuit porte conseil,Attacco sonno,Schlafangriff,Ataque de sueño,Усыпляющая атака,Atak uśpieniem,수면속성 강화,睡眠屬性強化,睡眠属性强化
Blast Attack,爆破属性強化,Destruction massive,Attacco scoppio,Explosionsangriff,Ataque nitro,Взрывная атака,Atak wybuchem,폭파속성 강화,爆破屬性強化,爆破属性强化
Handicraft,匠,Savoir-faire,Artigiano,Handwerk,Artesanía,Ремесло,Rękodzieło,장인,匠,匠
Razor Sharp,業物,Samouraï,Lama affilata,Scharfschwert,Filo de cuchilla,Бритва,Ostry jak brzytwa,명검,利刃,利刃
Spare Shot,弾丸節約,Tir parcimonieux,Tiro di riserva,Extraschuss,Tiro extra,Запасной выстрел,Zapasowy strzał,탄환 절약,彈藥節約,弹丸节约
Protective Polish,剛刃研磨,Acier trempé,Strato protettivo,Schutzpolitur,Acabado protector,Защитная полировка,Lakier ochronny,칼날 연마,剛刃研磨,刚刃打磨
Mind's Eye,心眼,Œil de l'esprit,Preveggenza,Geistiges Auge,Ojo mental,Мысленный взгляд,Oko umysłu,심안,心眼,心眼
Ballistics,弾導強化,Balistique,Balistica,Ballistik,Balística,Баллистика,Balistyka,탄도 강화,彈道強化,弹道强化
Bludgeoner,鈍器使い,Matraquage,Devastatore,Prügler,Impacto mejorado,Дуболом,Pałkarz,둔기 사용,鈍器能手,钝器能手
Bow Charge Plus,弓溜め段階解放,Maître archer,Car. d'arco potenz.,Sehnenkraft,Arquero maestro,Заряд лука плюс,Lepsze ładow. łuku,활 모으기 단계 해제,解放弓的蓄力階段,解放弓的蓄力阶段
Focus,集中,Concentration,Concentrazione,Fokus,Tiempo de carga,Фокусировка,Skupienie,집중,集中,集中
Power Prolonger,強化持続,Puissance absolue,Estens. di potenza,Kraftverlängerung,Carga prolongada,Дополнитель. энергия,Przedłużenie mocy,강화 지속,強化持續,强化持续
Marathon Runner,ランナー,Marathonien,Maratoneta,Marathon-Läufer,Esprint,Марафонец,Maratończyk,런너,跑者,跑者
Constitution,体術,Athlète,Atleta,Konstitution,Constitución,Телосложение,Tężyzna,체술,體術,体术
Stamina Surge,スタミナ急速回復,Métabolisme,Super resistenza,Ausdauererholung,Adrenalina,Всплеск выносливости,Przypływ wytrzym.,스태미나 급속 회복,耐力急速回復,耐力急速回复
Guard,ガード性能,Paladin,Blocco,Blocken,Guardia mejorada,Защита,Garda,가드 성능,防禦性能,防御性能
Guard Up,ガード強化,Ultra garde,Guardia perfetta,Blocken hoch,Escudo,На защиту,Wzniesiona garda,가드 강화,防禦強化,防御强化
Offensive Guard,攻めの守勢,Garde offensive,Guardia offensiva,Offensive Abwehr,Bloqueo agresivo,Агрессивная защита,Garda ofensywna,공격적인 방어,攻擊守勢,攻击守势
Critical Draw,抜刀術【技】,Dégainage éclair,Critico rapido,Kritisches Ziehen,Desenfundar,Критический выхват,Dobycie krytyczne,발도술【기】,拔刀術【技】,拔刀术【技】
Punishing Draw,抜刀術【力】,Batto-jutsu,Sfoderata punitrice,Bestrafender Zug,Pena inmediata,Наказывающая атака,Mordercze dobycie,발도술【힘】,拔刀術【力】,拔刀术【力】
Quick Sheathe,納刀術,Rengainage éclair,Rinfodero veloce,Schnelles Wegstecken,Desenfunde veloz,Быстрые ножны,Szybkie chowanie,납도술,收刀術,纳刀术
Slugger,ＫＯ術,Cogneur,Battitore,Lähmer,Aturdir,Тяжелый удар,Powalacz,KO술,KO術,击晕术
Stamina Thief,スタミナ奪取,Vol d'endurance,Ruba resistenza,Ausdauerdieb,Agotador,Похищение вынослив.,Kradzież wytrzymał.,스태미나 탈취,奪取耐力,夺取耐力
Affinity Sliding,滑走強化,Roi de la glisse,Affinità scivolata,Affinitätsschlittern,Afinidad deslizante,Мастерский подкат,Wślizg zgodności,활주 강화,滑走強化,滑走强化
Horn Maestro,笛吹き名人,Maestro,Maestro del corno,Horn-Maestro,Músico,Мастер рога,Wirtuoz rogu,피리 명인,吹笛名人,吹笛名人
Artillery,砲術,BOUM !,Artiglieria,Artillerie,Artillería,Артиллерия,Artyleria,포술,砲術,炮术
Load Shells,砲弾装填,Recharge chargée,Caricorazze,Patronennachlader,Cargar arma,Зарядить патроны,Ładuj łuski,포탄 장전,砲彈裝填,炮弹装填
Special Ammo Boost,特殊射撃強化,Salve mortelle,Bonus muniz. spec.,Spezialmunitionboost,Tiro especial,Усиление особых сн.,Moc amun. specjal.,특수 사격 강화,特殊射擊強化,特殊射击强化
Normal/Rapid Up,通常弾・連射矢強化,Normale/Rapide +,Normale/Rapido+,Normal / Schnell hoch,Normal/salva+,Обычный/Быстрый+,Więcej normal./szyb.,통상탄/연사화살 강화,通常彈･連射箭強化,通常弹・连射箭强化
Pierce Up,貫通弾・貫通矢強化,Perforant +,Perforante,Perforation hoch,Perforante+,Проникающий+,Więcej przebijającej,관통탄/관통화살 강화,貫通彈･貫通箭強化,贯穿弹・贯穿箭强化
Spread Up,散弾・拡散矢強化,Grenaille +,Ventaglio+,Schrot hoch,Abanico+,Разброс+,Więcej rozrzutowej,산탄/확산화살 강화,散彈･擴散箭強化,散弹・扩散箭强化
Ammo Up,装填拡張,Max de munitions,Munizioni+,Munition hoch,Munición+,Снаряды+,Więcej amunicji,장전 확장,裝填擴充,装填扩充
Reload Speed,装填速度,Vitesse de rechargement,Velocità ricarica,Nachladetempo,Recarga,Скорость перезарядки,Szybk. przeładowania,장전 속도,裝填速度,装填速度
Recoil Down,反動軽減,Recul réduit,Riduzione rinculo,Rückstoßdämpfer,Cadencia,Снижение отдачи,Mniejszy odrzut,반동 경감,後座力減輕,减轻后坐力
Steadiness,ブレ抑制,Sniper,Precisione,Zielsicherheit,Estabilidad,Твердость,Stałość,흔들림 억제,抑制偏移,抑制偏移
Rapid Fire Up,速射強化,Tir super rapide,Fuoco rapido+,Schnellfeuer hoch,Disparo múltiple,Быстрая стрельба+,Więcej szybk. ognia,속사 강화,速射強化,速射强化
Defense Boost,防御,Bastion,Bonus difesa,Verteidigungsboost,Aumento defensivo,Усиление защиты,Wzmocnienie obrony,방어,防禦,防御
Divine Blessing,精霊の加護,Bénédiction,Angelo custode,Göttlicher Segen,Bendición divina,Божеств. благослов.,Boskie błogosławień.,정령의 가호,精靈加護,精灵加护
Recovery Up,体力回復量ＵＰ,Cercle de vie,Bonus cura,Erholung hoch,Recuperación,Улучшение восстанов.,Wzrost regeneracji,체력 회복량 UP,體力回復量UP,体力回复量提升
Recovery Speed,回復速度,Halo de guérison,Guarigione,Erholungstempo,Recuperación rápida,Скорость восстанов.,Szybkość regeneracji,회복 속도,回復速度,回复速度
Speed Eating,早食い,Carnassier,Pasto veloce,Schnellessen,Consumir,Аппетит,Szybkie jedzenie,빨리 먹기,快吃,快吃
Earplugs,耳栓,Bouchon d'oreilles,Protezione udito,Ohrstöpsel,Tapones,Наушники,Zatyczki do Uszu,귀마개,耳塞,耳塞
Windproof,風圧耐性,Pare-vent,Paravento,Windsicher,Antiviento,Антиветер,Wiatrochron,풍압 내성,風壓耐性,风压耐性
Tremor Resistance,耐震,Sismologie,Antisismico,Erschütterngswdrstnd,Antitemblores,Сопротивление тряске,Odporn. na wstrząsy,내진,耐震,耐震
Bubbly Dance,泡沫の舞,Ébullition,Danza bollicine,Blasentanz,Danza burbujeante,Пузырьковый танец,Bąblowy taniec,거품의 춤,泡沫之舞,泡沫之舞
Evade Window,回避性能,Invulnérabilité,Schivata,Unverwundbarkeit,Intervalo evasivo,Окно уклонения,Czas na unik,회피 성능,迴避性能,回避性能
Evade Extender,回避距離ＵＰ,Trompe-la-mort,Schivata estesa,Ausweichdistanz,Distancia evasiva,Улучшение уклонения,Wydłużenie uniku,회피 거리 UP,迴避距離UP,回避距离提升
Fire Resistance,火耐性,Ignifuge,Resistenza fuoco,Feuerwiderstand,Antifuego,Сопротивление огню,Odporn. na ogień,불 내성,火耐性,火耐性
Water Resistance,水耐性,Étanchéité,Resistenza acqua,Wasserwiderstand,Antiagua,Сопротивление воде,Odporn. na wodę,물 내성,水耐性,水耐性
Ice Resistance,氷耐性,Antigel,Resistenza ghiaccio,Eiswiderstand,Antihielo,Сопротивление льду,Odporn. na lód,얼음 내성,冰耐性,冰耐性
Thunder Resistance,雷耐性,Paratonnerre,Resistenza tuono,Donnerwiderstand,Antirrayo,Сопротивление грозе,Odporn. na pioruny,번개 내성,雷耐性,雷耐性
Dragon Resistance,龍耐性,Aura draconien,Resistenza drago,Drachenwiderstand,Antidraco,Сопротив. дракону,Odporn. na smoki,용 내성,龍耐性,龙耐性
Blight Resistance,属性やられ耐性,Totem élémentaire,Resistenza malus,Pestwiderstand,Antiplagas,Сопротивление порче,Odporność na plagę,속성 피해 내성,屬性異常狀態的耐性,属性异常状态的耐性
Poison Resistance,毒耐性,Toxicologie,Resistenza veleno,Giftwiderstand,Antiveneno,Сопротивление яду,Odporn. na truciznę,독 내성,毒耐性,毒耐性
Paralysis Resistance,麻痺耐性,Antiparalysie,Resistenza paralisi,Lähmungswiderstand,Antiparálisis,Сопротив. параличу,Odporność na paraliż,마비 내성,麻痺耐性,麻痹耐性
Sleep Resistance,睡眠耐性,Insomnie,Resistenza sonno,Schlafwiderstand,Antisueño,Сопротивление сну,Odporn. na uśpienie,수면 내성,睡眠耐性,睡眠耐性
Stun Resistance,気絶耐性,Crâne d'acier,Resist. stordimento,Betäubungswiderstand,Antiaturdimiento,Сопротив. оглушению,Odpor. na ogłuszenie,기절 내성,昏厥耐性,昏厥耐性
Muck Resistance,泥雪耐性,Anti-fange,Resistenza melma,Mist-Widerstand,Antifango,Сопротив. замедлению,Odpor. na wydzieliny,진흙/눈 내성,泥雪耐性,泥雪耐性
Blast Resistance,爆破やられ耐性,Anti-explosion,Resistenza scoppio,Explosionswiderstand,Antinitro,Сопротивление взрыву,Odporność na wybuch,폭파 피해 내성,爆破異常狀態的耐性,爆破异常状态的耐性
Botanist,植生学,Botaniste,Botanico,Botaniker,Botánico,Ботаник,Botanik,식생학,植生學,植生学
Geologist,地質学,Géologiste,Geologo,Geologe,Geólogo,Геолог,Geolog,지질학,地質學,地质学
Partbreaker,破壊王,Destructeur,Spaccamostri,Teilezerstörer,Rompepartes,Рассекатель,Rozłamywacz,파괴왕,破壞王,破坏王
Capture Master,捕獲名人,Maître capture,Maestro di cattura,Fangmeister,Maestro capturas,Мастер-ловец,Mistrz łapania,포획 명인,捕獲名人,捕获名人
Carving Master,剥ぎ取り名人,Maître dépeceur,Maestro del ricavo,Zerlegemeister,Despiece extra,Мастер разделки,Mistrz Wykrajania,갈무리 명인,剝取名人,剥取名人
Good Luck,幸運,Chance,Fortuna,Glückserhöher,Afortunado,Удача,Szczęście,행운,幸運,幸运
