(Boost),(Boost)
(S),(S)
Bladescale,Bladescale
Blood,Blood
Bloodlust,Bloodlust
Breath,Breath
Call,Call
Chain,Chain
Charge,Charge
Coalescence,Coalescence
Crit,Crit
Dereliction,Dereliction
Foray,Foray
Furious,Furious
Grinder,Grinder
Hellfire,Hellfire
Hone,Hone
Mail,Mail
Master,Master
Quick,Quick
Redirection,Redirection
Rite,Rite
Spiritbird’s,Spiritbird’s
Tune-Up,Tune-Up
Wall-Runner,Wall-Runner
Whisperer,Whisperer
Wirebug,Wirebug
of,of
不屈,不屈
会心击【属性】,会心击【属性】
体力回复量提升,体力回复量提升
体术,体术
佯动,佯动
冰属性攻击强化,冰属性攻击强化
冰耐性,冰耐性
减轻后坐力,减轻后坐力
减轻胆怯,减轻胆怯
击晕术,击晕术
刚刃打磨,刚刃打磨
利刃,利刃
剥取名人,剥取名人
剥取铁人,剥取铁人
力量解放,力量解放
匠,匠
吹笛名人,吹笛名人
回复速度,回复速度
回避性能,回避性能
回避距离提升,回避距离提升
地质学,地质学
墙面移动,墙面移动
夺取耐力,夺取耐力
属性异常状态的耐性,属性异常状态的耐性
幸运,幸运
广域化,广域化
弱点特效,弱点特效
弹丸节约,弹丸节约
弹道强化,弹道强化
强化持续,强化持续
心眼,心眼
快吃,快吃
怨恨,怨恨
抑制偏移,抑制偏移
拔刀术【力】,拔刀术【力】
拔刀术【技】,拔刀术【技】
挑战者,挑战者
捕获名人,捕获名人
攻击,攻击
攻击守势,攻击守势
散弹・扩散箭强化,散弹・扩散箭强化
无伤,无伤
昏厥耐性,昏厥耐性
最爱蘑菇,最爱蘑菇
植生学,植生学
死里逃生,死里逃生
毒属性强化,毒属性强化
毒耐性,毒耐性
水属性攻击强化,水属性攻击强化
水耐性,水耐性
泡沫之舞,泡沫之舞
泥雪耐性,泥雪耐性
滑走强化,滑走强化
满足感,满足感
火场怪力,火场怪力
火属性攻击强化,火属性攻击强化
火耐性,火耐性
炎鳞的恩惠,炎鳞的恩惠
炮弹装填,炮弹装填
炮术,炮术
炸弹客,炸弹客
爆破属性强化,爆破属性强化
爆破异常状态的耐性,爆破异常状态的耐性
特殊射击强化,特殊射击强化
看破,看破
睡眠属性强化,睡眠属性强化
睡眠耐性,睡眠耐性
砥石使用高速化,砥石使用高速化
破坏王,破坏王
精灵加护,精灵加护
精神抖擞,精神抖擞
纳刀术,纳刀术
翔虫使,翔虫使
耐力急速回复,耐力急速回复
耐震,耐震
耳塞,耳塞
装填扩充,装填扩充
装填速度,装填速度
解放弓的蓄力阶段,解放弓的蓄力阶段
贯穿弹・贯穿箭强化,贯穿弹・贯穿箭强化
超会心,超会心
跑者,跑者
跳跃铁人,跳跃铁人
达人艺,达人艺
逆袭,逆袭
通常弹・连射箭强化,通常弹・连射箭强化
速射强化,速射强化
道具使用强化,道具使用强化
钝器能手,钝器能手
钢壳的恩惠,钢壳的恩惠
防御,防御
防御强化,防御强化
防御性能,防御性能
集中,集中
雷属性攻击强化,雷属性攻击强化
雷纹一致,雷纹一致
雷耐性,雷耐性
霞皮的恩惠,霞皮的恩惠
风压耐性,风压耐性
风纹一致,风纹一致
风雷合一,风雷合一
飞身跃入,飞身跃入
饥饿耐性,饥饿耐性
骑乘名人,骑乘名人
高速变形,高速变形
鬼火缠,鬼火缠
麻痹属性强化,麻痹属性强化
麻痹耐性,麻痹耐性
龙属性攻击强化,龙属性攻击强化
龙气活性,龙气活性
龙耐性,龙耐性
