(Boost),(Boost)
(S),(S)
Adrenaline,Adrenaline
Attack,Attack
Bladescale,Bladescale
Blood,Blood
Bloodlust,Bloodlust
Breath,Breath
Call,Call
Chain,Chain
Charge,Charge
Coalescence,Coalescence
Crit,Crit
Defiance,Defiance
Dereliction,Dereliction
Foray,Foray
Furious,Furious
Grinder,Grinder
Guts,Guts
Hellfire,Hellfire
Hone,Hone
KO術,KO術
Mail,Mail
Master,Master
Quick,Quick
Redirection,Redirection
Rite,Rite
Runner,Runner
Rush,Rush
Sneak,Sneak
Spiribird's,Spiribird's
Status,Status
Trigger,Trigger
Tune-Up,Tune-Up
Wall,Wall
Whisperer,Whisperer
Wirebug,Wirebug
of,of
不屈,不屈
佯攻,佯攻
冰屬性攻擊強化,冰屬性攻擊強化
冰耐性,冰耐性
利刃,利刃
剛刃研磨,剛刃研磨
剝取名人,剝取名人
剝取鐵人,剝取鐵人
力量解放,力量解放
匠,匠
吹笛名人,吹笛名人
回復速度,回復速度
地質學,地質學
奪取耐力,奪取耐力
屬性異常狀態的耐性,屬性異常狀態的耐性
幸運,幸運
廣域化,廣域化
弱點特效,弱點特效
強化持續,強化持續
彈藥節約,彈藥節約
彈道強化,彈道強化
後座力減輕,後座力減輕
心眼,心眼
快吃,快吃
怨恨,怨恨
抑制偏移,抑制偏移
拔刀術【力】,拔刀術【力】
拔刀術【技】,拔刀術【技】
挑戰者,挑戰者
捕獲名人,捕獲名人
收刀術,收刀術
攻擊,攻擊
攻擊守勢,攻擊守勢
散彈･擴散箭強化,散彈･擴散箭強化
昏厥耐性,昏厥耐性
最愛菇類,最愛菇類
會心擊【屬性】,會心擊【屬性】
植生學,植生學
死裡逃生,死裡逃生
毒屬性強化,毒屬性強化
毒耐性,毒耐性
水屬性攻擊強化,水屬性攻擊強化
水耐性,水耐性
泡沫之舞,泡沫之舞
泥雪耐性,泥雪耐性
減輕膽怯,減輕膽怯
滑走強化,滑走強化
滿足感,滿足感
火場怪力,火場怪力
火屬性攻擊強化,火屬性攻擊強化
火耐性,火耐性
炎鱗之恩惠,炎鱗之恩惠
炸彈客,炸彈客
無傷,無傷
爆破屬性強化,爆破屬性強化
爆破異常狀態的耐性,爆破異常狀態的耐性
特殊射擊強化,特殊射擊強化
看破,看破
睡眠屬性強化,睡眠屬性強化
睡眠耐性,睡眠耐性
砥石使用高速化,砥石使用高速化
砲彈裝填,砲彈裝填
砲術,砲術
破壞王,破壞王
精神抖擻,精神抖擻
精靈加護,精靈加護
翔蟲能手,翔蟲能手
耐力急速回復,耐力急速回復
耐震,耐震
耳塞,耳塞
裝填擴充,裝填擴充
裝填速度,裝填速度
解放弓的蓄力階段,解放弓的蓄力階段
貫通彈･貫通箭強化,貫通彈･貫通箭強化
超會心,超會心
跑者,跑者
跳躍鐵人,跳躍鐵人
迴避性能,迴避性能
迴避距離UP,迴避距離UP
逆襲,逆襲
通常彈･連射箭強化,通常彈･連射箭強化
速射強化,速射強化
道具使用強化,道具使用強化
達人藝,達人藝
鈍器能手,鈍器能手
鋼殼之恩惠,鋼殼之恩惠
防禦,防禦
防禦強化,防禦強化
防禦性能,防禦性能
集中,集中
雷屬性攻擊強化,雷屬性攻擊強化
雷紋一致,雷紋一致
雷耐性,雷耐性
霞皮之恩惠,霞皮之恩惠
風壓耐性,風壓耐性
風紋一致,風紋一致
風雷合一,風雷合一
飛簷走壁,飛簷走壁
飛身躍入,飛身躍入
飢餓耐性,飢餓耐性
騎乘名人,騎乘名人
體力回復量UP,體力回復量UP
體術,體術
高速變形,高速變形
鬼火纏身,鬼火纏身
麻痺屬性強化,麻痺屬性強化
麻痺耐性,麻痺耐性
龍屬性攻擊強化,龍屬性攻擊強化
龍氣活化,龍氣活化
龍耐性,龍耐性
