(Boost),(Boost)
(S),(S)
Bladescale,Bladescale
Blood,Blood
Bloodlust,Bloodlust
Breath,Breath
Call,Call
Chain,Chain
Charge,Charge
Coalescence,Coalescence
Crit,Crit
Dereliction,Dereliction
Foray,Foray
Furious,Furious
Grinder,Grinder
Hellfire,Hellfire
Hone,Hone
KO술,KO술
Mail,Mail
Master,Master
Quick,Quick
Redirection,Redirection
Rite,Rite
Spiritbird’s,Spiritbird’s
Tune-Up,Tune-Up
UP,UP
Wall-Runner,Wall-Runner
Whisperer,Whisperer
Wirebug,Wirebug
of,of
가드,가드
가호,가호
간파,간파
갈무리,갈무리
감소,감소
강각의,강각의
강화,강화
거리,거리
거품의,거품의
경감,경감
고속,고속
고속화,고속화
공격,공격
공격적인,공격적인
관통탄/관통화살,관통탄/관통화살
광역화,광역화
귀마개,귀마개
귀화전,귀화전
급속,급속
기절,기절
납도술,납도술
내성,내성
내진,내진
뇌문의,뇌문의
단계,단계
달인의,달인의
도전자,도전자
독,독
독속성,독속성
돌파구,돌파구
둔기,둔기
뛰어들기,뛰어들기
런너,런너
마비,마비
마비속성,마비속성
만족감,만족감
먹기,먹기
명검,명검
명인,명인
모으기,모으기
물,물
물속성,물속성
반동,반동
발도술【기】,발도술【기】
발도술【힘】,발도술【힘】
밧줄벌레꾼,밧줄벌레꾼
방어,방어
배고픔,배고픔
버섯,버섯
번개,번개
번개속성,번개속성
벽면,벽면
변형,변형
보머,보머
불,불
불굴,불굴
불속성,불속성
빨리,빨리
사격,사격
사용,사용
산탄/확산화살,산탄/확산화살
성능,성능
속도,속도
속사,속사
속성,속성
수면,수면
수면속성,수면속성
숫돌,숫돌
슈퍼회심,슈퍼회심
스태미나,스태미나
식생학,식생학
심안,심안
아이템,아이템
앙심,앙심
애호가,애호가
약점,약점
양동,양동
억제,억제
얼음,얼음
얼음속성,얼음속성
역습,역습
연마,연마
염린의,염린의
완전,완전
용,용
용기,용기
용속성,용속성
움찔,움찔
은혜,은혜
이동,이동
일치,일치
장인,장인
장전,장전
재난대처능력,재난대처능력
재주,재주
절약,절약
점프,점프
정령의,정령의
지속,지속
지질학,지질학
진흙/눈,진흙/눈
집중,집중
철인,철인
체력,체력
체술,체술
춤,춤
충전,충전
칼날,칼날
탄도,탄도
탄환,탄환
탈취,탈취
탑승,탑승
통상탄/연사화살,통상탄/연사화살
특수,특수
특효,특효
파괴왕,파괴왕
포술,포술
포탄,포탄
포획,포획
폭파,폭파
폭파속성,폭파속성
풍뢰합일,풍뢰합일
풍문의,풍문의
풍압,풍압
피리,피리
피해,피해
하피의,하피의
해방,해방
해제,해제
행운,행운
혼신,혼신
확장,확장
활,활
활성,활성
활주,활주
회복,회복
회복량,회복량
회심격【속성】,회심격【속성】
회피,회피
흔들림,흔들림
힘의,힘의
