(Boost),(Boost)
(S),(S)
Adrenaline,Adrenaline
Attack,Attack
Berserk,Berserk
Bladescale,Bladescale
Blood,Blood
Bloodlust,Bloodlust
Boost,Boost
Breath,Breath
Buildup,Buildup
Burst,Burst
Call,Call
Charge,Charge
Coalescence,Coalescence
Conversion,Conversion
Defiance,Defiance
Dereliction,Dereliction
Dragon,Dragon
Element,Element
Embolden,Embolden
Exploit,Exploit
Foray,Foray
Frenzied,Frenzied
Frostcraft,Frostcraft
Furious,Furious
Grinder,Grinder
Guts,Guts
Heart,Heart
Heaven-Sent,Heaven-Sent
Hellfire,Hellfire
Hone,Hone
Intrepid,Intrepid
Mail,Mail
Mantle,Mantle
Master,Master
Powder,Powder
Quick,Quick
Redirection,Redirection
Rite,Rite
Runner,Runner
Rush,Rush
Sneak,Sneak
Spiribird's,Spiribird's
Status,Status
Strife,Strife
Trigger,Trigger
Tune-Up,Tune-Up
Wall,Wall
Whisperer,Whisperer
Wind,Wind
Wirebug,Wirebug
of,of
Агрессивная,Агрессивная
Антиветер,Антиветер
Аппетит,Аппетит
Артиллерия,Артиллерия
Атака,Атака
Аура,Аура
Баллистика,Баллистика
Бегун,Бегун
Бесплатная,Бесплатная
Благосл.,Благосл.
Божеств.,Божеств.
Бомбардир,Бомбардир
Ботаник,Ботаник
Бритва,Бритва
Быстрая,Быстрая
Быстрое,Быстрое
Быстрые,Быстрые
Взрывная,Взрывная
Владыка,Владыка
Всплеск,Всплеск
Геолог,Геолог
Героизм,Героизм
Говорящ.,Говорящ.
Диверсия,Диверсия
Дополнитель.,Дополнитель.
Драконье,Драконье
Дуболом,Дуболом
Душа,Душа
Завеса,Завеса
Запасной,Запасной
Заряд,Заряд
Зарядить,Зарядить
Защита,Защита
Защитная,Защитная
Контрудар,Контрудар
Крит.,Крит.
Критический,Критический
Кушалы,Кушалы
Макс.,Макс.
Марафонец,Марафонец
Мастер,Мастер
Мастер-ловец,Мастер-ловец
Мастер-наездник,Мастер-наездник
Мастерский,Мастерский
Мысленный,Мысленный
На,На
Наказывающая,Наказывающая
Наушники,Наушники
Непоколебимость,Непоколебимость
Обычный/Быстрый+,Обычный/Быстрый+
Оживление,Оживление
Окно,Окно
Парализующая,Парализующая
Подстрекатель,Подстрекатель
Поиск,Поиск
Похищение,Похищение
Презрение,Презрение
Проникающий+,Проникающий+
Профи,Профи
Прутожук.,Прутожук.
Прыжок,Прыжок
Пузырьковый,Пузырьковый
Разброс+,Разброс+
Рассекатель,Рассекатель
Ремесло,Ремесло
Рука,Рука
Скорость,Скорость
Скрытая,Скрытая
Снаряды+,Снаряды+
Снижение,Снижение
Сопротив.,Сопротив.
Сопротивление,Сопротивление
Тайна,Тайна
Твердость,Твердость
Телосложение,Телосложение
Теостры,Теостры
Тяжелый,Тяжелый
Удача,Удача
Укрепление,Укрепление
Улучшение,Улучшение
Усиление,Усиление
Усыпляющая,Усыпляющая
Фокусировка,Фокусировка
Хамелеоса,Хамелеоса
Экономное,Экономное
ад.,ад.
атак,атак
атака,атака
атаки,атаки
благослов.,благослов.
бури,бури
веры,веры
ветра,ветра
взгляд,взгляд
взрыву,взрыву
воде,воде
водой,водой
восстанов.,восстанов.
вынослив.,вынослив.
выносливости,выносливости
высоте,высоте
выстрел,выстрел
выхват,выхват
голоду,голоду
грибов,грибов
грозе,грозе
грозой,грозой
грозы,грозы
дракона,дракона
дракону,дракону
еда,еда
замедлению,замедлению
заточка,заточка
защита,защита
защиту,защиту
защиты,защиты
использ.,использ.
крит.,крит.
лука,лука
льдом,льдом
льду,льду
мастера,мастера
могущество,могущество
ножны,ножны
оглушению,оглушению
огнем,огнем
огню,огню
особых,особых
отдачи,отдачи
параличу,параличу
патроны,патроны
перезарядки,перезарядки
пламени,пламени
плюс,плюс
по,по
подкат,подкат
полировка,полировка
порче,порче
превращение,превращение
прыжков,прыжков
разделки,разделки
рога,рога
с,с
сердце,сердце
сн.,сн.
сну,сну
стенам,стенам
стихией,стихией
стрельба+,стрельба+
танец,танец
тряске,тряске
удар,удар
уклонения,уклонения
уязвимостей,уязвимостей
энергия,энергия
ядом,ядом
яду,яду
